,id,time,mac,btmac,major,minor,rssi,date,meas_time
0,1617896654,2021-04-08 18:44:00,50:d4:f7:b9:c4:44,5285707C8CCA,1239,2192,-78,2021-04-08,2021-04-08 18:44:04
1,1617896660,2021-04-08 18:44:05,50:d4:f7:b9:c4:44,5285707C8CCA,1239,2192,-69,2021-04-08,2021-04-08 18:44:08
2,1617896666,2021-04-08 18:44:10,50:d4:f7:b9:c0:c2,5285707C8CCA,1239,2192,-75.5,2021-04-08,2021-04-08 18:44:11
3,1617896660,2021-04-08 18:44:10,50:d4:f7:b9:c4:44,5285707C8CCA,1239,2192,-77.33333333333333,2021-04-08,2021-04-08 18:44:12.333333248
4,1617896666,2021-04-08 18:44:15,50:d4:f7:b9:c4:44,5285707C8CCA,1239,2192,-76.5,2021-04-08,2021-04-08 18:44:16.500000
5,1617896672,2021-04-08 18:44:20,50:d4:f7:b9:c0:c2,5285707C8CCA,1239,2192,-58.0,2021-04-08,2021-04-08 18:44:22
6,1617896672,2021-04-08 18:44:20,50:d4:f7:b9:c4:44,5285707C8CCA,1239,2192,-71.66666666666667,2021-04-08,2021-04-08 18:44:22
7,1617896678,2021-04-08 18:44:25,50:d4:f7:b9:c0:c2,5285707C8CCA,1239,2192,-62.5,2021-04-08,2021-04-08 18:44:27.500000
8,1617896678,2021-04-08 18:44:25,50:d4:f7:b9:c4:44,5285707C8CCA,1239,2192,-73.5,2021-04-08,2021-04-08 18:44:28
9,1617896678,2021-04-08 18:44:25,50:d4:f7:b9:a6:de,5285707C8CCA,1239,2192,-76.0,2021-04-08,2021-04-08 18:44:26.333333504
10,1617896678,2021-04-08 18:44:25,50:d4:f7:ff:df:56,5285707C8CCA,1239,2192,-81.33333333333333,2021-04-08,2021-04-08 18:44:28
11,1617896684,2021-04-08 18:44:30,50:d4:f7:b9:c0:c2,5285707C8CCA,1239,2192,-64,2021-04-08,2021-04-08 18:44:32
12,1617896684,2021-04-08 18:44:30,50:d4:f7:b9:c4:44,5285707C8CCA,1239,2192,-75,2021-04-08,2021-04-08 18:44:32
13,1617896684,2021-04-08 18:44:30,50:d4:f7:ff:df:56,5285707C8CCA,1239,2192,-83,2021-04-08,2021-04-08 18:44:32
14,1617896690,2021-04-08 18:44:35,50:d4:f7:b9:c0:c2,5285707C8CCA,1239,2192,-60,2021-04-08,2021-04-08 18:44:36
15,1617896690,2021-04-08 18:44:35,50:d4:f7:b9:c4:44,5285707C8CCA,1239,2192,-77,2021-04-08,2021-04-08 18:44:36
16,1617896690,2021-04-08 18:44:35,50:d4:f7:b9:a6:de,5285707C8CCA,1239,2192,-84,2021-04-08,2021-04-08 18:44:38
17,1617896684,2021-04-08 18:44:35,50:d4:f7:ff:df:56,5285707C8CCA,1239,2192,-84,2021-04-08,2021-04-08 18:44:38
18,1617896690,2021-04-08 18:44:40,50:d4:f7:b9:c0:c2,5285707C8CCA,1239,2192,-61.0,2021-04-08,2021-04-08 18:44:42
19,1617896690,2021-04-08 18:44:40,50:d4:f7:b9:c4:44,5285707C8CCA,1239,2192,-80.5,2021-04-08,2021-04-08 18:44:43.500000
20,1617896696,2021-04-08 18:44:40,50:d4:f7:b9:a6:de,5285707C8CCA,1239,2192,-83.5,2021-04-08,2021-04-08 18:44:42
