,Unnamed: 0,x_pos,y_pos,av_sim
0,0,309,254,0.019113074783177877
1,1,323,265,0.015607101947308133
2,2,327,237,0.016261659302896414
3,3,339,250,0.011782032400589101
4,4,343,222,0.0169775814105711
5,5,355,234,0.025965472099492716
6,6,355,209,0.021260841106201932
7,7,366,220,0.019203448327159665
8,8,374,188,0.019491304800583153
9,9,386,201,0.02069628538700704
10,10,386,235,0.012743413516609393
11,11,400,219,0.010309278350515464
12,12,414,235,0.018225331369661264
13,13,402,247,0.013316151202749139
14,14,393,169,0.020051025721128813
15,15,402,187,0.018270332187857962
16,16,423,168,0.020402478392169115
17,17,443,186,0.01871290221805686
18,18,452,166,0.022055607622617934
19,19,467,185,0.014944848965467522
20,20,475,169,0.018239091950432156
21,21,492,185,0.022341232650511002
22,22,494,169,0.0204311152764761
23,23,514,187,0.021534936998854524
24,24,512,170,0.016663062023886763
25,25,393,159,0.0143184421534937
26,26,391,146,0.016363933889707086
27,27,413,159,0.010309278350515464
28,28,414,146,0.015504827360497464
29,29,440,157,0.018213058419243984
30,30,440,146,0.018642611683848797
31,31,464,145,0.02262313860252005
32,32,464,162,0.022256065812766845
33,33,485,156,0.030250219425477162
34,34,484,145,0.019793293762365927
35,35,509,146,0.012600229095074456
36,36,510,157,0.02752897160113655
37,37,527,145,0.030676425521786347
38,38,524,162,0.0175882536707279
39,39,533,162,0.0222344951726395
40,40,528,185,0.020446735395189004
41,41,543,145,0.02875589473527618
42,42,544,156,0.0410905818122313
43,43,560,145,0.022083500691748113
44,44,559,156,0.019571264932089674
45,45,544,169,0.023716546912423198
46,46,544,187,0.017869415807560136
47,47,560,169,0.023417161303759242
48,48,561,187,0.021518573064964817
49,49,579,168,0.01632302405498282
50,50,585,185,0.024324987727049583
51,51,569,155,0.019468990345279005
52,52,567,146,0.023306332842415317
53,53,581,146,0.016781214203894616
54,54,595,157,0.012743413516609393
55,55,593,146,0.025548191785305183
56,56,582,158,0.027016854851906403
57,57,613,145,0.020573555882834233
58,58,614,156,0.01775077728685976
59,59,634,147,0.012927507772868597
60,60,634,156,0.021600392734413353
61,61,597,169,0.016462117493045325
62,62,606,186,0.023952708231058748
63,63,618,169,0.033231058746522664
64,64,637,168,0.02079037800687285
65,65,640,187,0.020418098510882013
66,66,625,189,0.0220054000981836
67,67,608,208,0.01145475372279496
68,68,610,233,0.011340206185567012
69,69,629,233,0.011597938144329897
70,70,629,213,0.018499427262313864
71,71,660,170,0.027942160931851652
72,72,653,188,0.026601062168072474
73,73,674,186,0.014339268978444238
74,74,665,198,0.034983487303074934
75,75,677,210,0.018384879725085908
76,76,689,202,0.01804123711340206
77,77,699,213,0.02127311405661921
78,78,694,222,0.02734413352970054
79,79,679,224,0.011782032400589101
80,80,673,231,0.017182130584192438
81,81,669,163,0.01995581737849779
82,82,677,141,0.03080510554737359
83,83,684,178,0.01675257731958763
84,84,683,161,0.012371134020618556
85,85,697,175,0.01288659793814433
86,86,697,193,0.015463917525773196
87,87,719,196,0.016323024054982815
88,88,708,209,0.015132547864506626
89,89,720,221,0.010309278350515464
90,90,739,215,0.015463917525773196
91,91,735,232,0.015463917525773196
92,92,757,235,0.010309278350515464
93,93,749,247,0.03178694158075601
94,94,770,246,0.016323024054982815
95,95,760,259,0.01752577319587629
96,96,779,265,0.013745704467353952
