,Unnamed: 0,x_pos,y_pos,av_sim
0,0,309,254,0.27573543295192776
1,1,323,265,0.27573543295192776
2,2,327,237,0.27573543295192776
3,3,339,250,0.27573543295192776
4,4,343,222,0.27573543295192776
5,5,355,234,0.27573543295192776
6,6,355,209,0.27573543295192776
7,7,366,220,0.3196269366372459
8,8,374,188,0.3723363692435857
9,9,386,201,0.3269178130002872
10,10,386,235,0.26057891135210726
11,11,400,219,0.21820115737641516
12,12,414,235,0.23386167097507304
13,13,402,247,0.21820115737641516
14,14,393,169,0.3674540808561427
15,15,402,187,0.3723363692435857
16,16,423,168,0.3674540808561427
17,17,443,186,0.3789160438644974
18,18,452,166,0.37078256794751635
19,19,467,185,0.4214320044216952
20,20,475,169,0.44751640112464847
21,21,492,185,0.37664048437244313
22,22,494,169,0.43113610330105173
23,23,514,187,0.4335081298998824
24,24,512,170,0.466027443347031
25,25,393,159,0.303849987355142
26,26,391,146,0.27573543295192776
27,27,413,159,0.2010815072670743
28,28,414,146,0.3010595647193585
29,29,440,157,0.36433071510391096
30,30,440,146,0.30308460153820976
31,31,464,145,0.3281009654720995
32,32,464,162,0.43508018327605963
33,33,485,156,0.4252893441037771
34,34,484,145,0.4462667916276163
35,35,509,146,0.4252893441037771
36,36,510,157,0.43292311926332544
37,37,527,145,0.4462667916276163
38,38,524,162,0.4774605692131465
39,39,533,162,0.33336606120111273
40,40,528,185,0.4335081298998824
41,41,543,145,0.4252893441037771
42,42,544,156,0.4252893441037771
43,43,560,145,0.43292311926332544
44,44,559,156,0.4252893441037771
45,45,544,169,0.4550885540576262
46,46,544,187,0.45350560092828135
47,47,560,169,0.4550885540576262
48,48,561,187,0.4427652816828074
49,49,579,168,0.4610385319148206
50,50,585,185,0.44612249148331623
51,51,569,155,0.3283955162821142
52,52,567,146,0.3283955162821142
53,53,581,146,0.41427976376429987
54,54,595,157,0.4610385319148206
55,55,593,146,0.42521347495574296
56,56,582,158,0.4610385319148206
57,57,613,145,0.4030846015382098
58,58,614,156,0.42575683194239894
59,59,634,147,0.3910578539444519
60,60,634,156,0.34493573436872405
61,61,597,169,0.4610385319148206
62,62,606,186,0.4610385319148206
63,63,618,169,0.4610385319148206
64,64,637,168,0.46369698457327335
65,65,640,187,0.4610385319148206
66,66,625,189,0.4549980660805403
67,67,608,208,0.3387445887445886
68,68,610,233,0.39789872212552635
69,69,629,233,0.34493573436872405
70,70,629,213,0.41427976376429987
71,71,660,170,0.4702148367096821
72,72,653,188,0.46369698457327335
73,73,674,186,0.4702148367096821
74,74,665,198,0.46369698457327335
75,75,677,210,0.3319156216063433
76,76,689,202,0.39789872212552635
77,77,699,213,0.31608594727151423
78,78,694,222,0.31608594727151423
79,79,679,224,0.3080019636720668
80,80,673,231,0.13186950506538134
81,81,669,163,0.3319156216063433
82,82,677,141,0.3319156216063433
83,83,684,178,0.3080019636720668
84,84,683,161,0.3080019636720668
85,85,697,175,0.2293394177414796
86,86,697,193,0.2293394177414796
87,87,719,196,0.3319156216063433
88,88,708,209,0.3080019636720668
89,89,720,221,0.3319156216063433
90,90,739,215,0.24316433852516325
91,91,735,232,0.14728767795778105
92,92,757,235,0.14728767795778105
93,93,749,247,0.14728767795778105
94,94,770,246,0.14728767795778105
95,95,760,259,0.14728767795778105
96,96,779,265,0.14728767795778105
