,Unnamed: 0,x_pos,y_pos,av_sim
0,0,309,254,0.32260677466863036
1,1,323,265,0.32260677466863036
2,2,327,237,0.32260677466863036
3,3,339,250,0.32260677466863036
4,4,343,222,0.32260677466863036
5,5,355,234,0.32260677466863036
6,6,355,209,0.32260677466863036
7,7,366,220,0.3869047619047619
8,8,374,188,0.4631811487481591
9,9,386,201,0.39579037800687283
10,10,386,235,0.32260677466863036
11,11,400,219,0.26489936180657825
12,12,414,235,0.26489936180657825
13,13,402,247,0.26489936180657825
14,14,393,169,0.4631811487481591
15,15,402,187,0.4631811487481591
16,16,423,168,0.4631811487481591
17,17,443,186,0.4631811487481591
18,18,452,166,0.4631811487481591
19,19,467,185,0.5180412371134021
20,20,475,169,0.5613033873343152
21,21,492,185,0.47275405007363774
22,22,494,169,0.5432007854688267
23,23,514,187,0.5207167403043691
24,24,512,170,0.5613033873343152
25,25,393,159,0.38090328915071175
26,26,391,146,0.32260677466863036
27,27,413,159,0.26489936180657825
28,28,414,146,0.38090328915071175
29,29,440,157,0.44928816887579776
30,30,440,146,0.38090328915071175
31,31,464,145,0.4093765341188022
32,32,464,162,0.5432007854688267
33,33,485,156,0.5201276386843396
34,34,484,145,0.5432007854688267
35,35,509,146,0.5201276386843396
36,36,510,157,0.5201276386843396
37,37,527,145,0.5432007854688267
38,38,524,162,0.5613033873343152
39,39,533,162,0.3968826705940109
40,40,528,185,0.5207167403043691
41,41,543,145,0.5201276386843396
42,42,544,156,0.5201276386843396
43,43,560,145,0.5201276386843396
44,44,559,156,0.5201276386843396
45,45,544,169,0.5523441335297005
46,46,544,187,0.5432007854688267
47,47,560,169,0.5523441335297005
48,48,561,187,0.5456431026018654
49,49,579,168,0.5456431026018654
50,50,585,185,0.5456431026018654
51,51,569,155,0.40856651939126165
52,52,567,146,0.40856651939126165
53,53,581,146,0.5034118802160039
54,54,595,157,0.5456431026018654
55,55,593,146,0.5034118802160039
56,56,582,158,0.5456431026018654
57,57,613,145,0.5034118802160039
58,58,614,156,0.5201276386843396
59,59,634,147,0.4698944526264114
60,60,634,156,0.40856651939126165
61,61,597,169,0.5456431026018654
62,62,606,186,0.5456431026018654
63,63,618,169,0.5456431026018654
64,64,637,168,0.5523441335297005
65,65,640,187,0.5456431026018654
66,66,625,189,0.5456431026018654
67,67,608,208,0.40594010800196373
68,68,610,233,0.4724963181148748
69,69,629,233,0.40856651939126165
70,70,629,213,0.5034118802160039
71,71,660,170,0.5523441335297005
72,72,653,188,0.5523441335297005
73,73,674,186,0.5523441335297005
74,74,665,198,0.5523441335297005
75,75,677,210,0.40594010800196373
76,76,689,202,0.4724963181148748
77,77,699,213,0.40594010800196373
78,78,694,222,0.40594010800196373
79,79,679,224,0.40594010800196373
80,80,673,231,0.1731467844869907
81,81,669,163,0.40594010800196373
82,82,677,141,0.40594010800196373
83,83,684,178,0.40594010800196373
84,84,683,161,0.40594010800196373
85,85,697,175,0.297287677957781
86,86,697,193,0.297287677957781
87,87,719,196,0.40594010800196373
88,88,708,209,0.40594010800196373
89,89,720,221,0.40594010800196373
90,90,739,215,0.297287677957781
91,91,735,232,0.1731467844869907
92,92,757,235,0.1731467844869907
93,93,749,247,0.1731467844869907
94,94,770,246,0.1731467844869907
95,95,760,259,0.1731467844869907
96,96,779,265,0.1731467844869907
