,path_len,threshold,dt,mis_val,knn,loc_method,path1_av,path2_av,path3_av,path_av_av,path1_b,path2_b,path3_b,path_b_av,path1_av_i,path2_av_i,path3_av_i,path3_av_i_av,first_3
357,long_path,lp2,10s,penalty,3,gaus_80,"[13.116942422550144, 8.76683461442231]","[3.989252748538579, 1.9978022338962815]","[6.103628078906423, 3.3542017135466997]",7.736607749998382,"[12.477510101790505, 8.360399495232397]","[3.318233036257181, 2.502797337956768]","[5.706314510399057, 4.661148982269734]",7.167352549482248,[13.538492764198484],[4.810483997777772],[6.759528144287219],8.369501635421159,6.103628078906423
358,long_path,lp2,10s,penalty,3,gaus_normal,"[13.183898618842798, 8.812495008098267]","[3.9203042498000276, 2.0203725785880136]","[6.144097144469045, 3.295333063975071]",7.749433337703958,"[12.509065516947992, 8.487143461991563]","[3.097560640212412, 2.5909113252788103]","[5.65261832558714, 4.630549452820369]",7.086414827582515,[13.589739000342664],[4.6396882515352],[6.77788579709987],8.335771016325912,6.144097144469045
359,long_path,lp2,10s,penalty,3,gaus_top,"[12.704376706595486, 8.866240128636308]","[4.116825115949282, 2.37126707447355]","[6.174495839506173, 3.374751612113878]",7.665232554016981,"[11.758019911578243, 9.223822691966943]","[4.244838821321321, 2.5634834943767255]","[5.246233724279836, 4.189943978955321]",7.0830308190598,[13.828124239684126],[5.967238202702703],[6.954174563786007],8.916512335390946,6.174495839506173
356,long_path,lp2,10s,penalty,3,average,"[13.258436928817707, 9.034084309865229]","[3.8686831715048378, 2.055801883543636]","[6.358853370370369, 3.221086962917582]",7.828657823564304,"[13.203992733288844, 10.443502641531811]","[2.9109048698698694, 2.6622245291280366]","[5.919742263374485, 4.385941300581986]",7.3448799555110655,[13.820629524746968],[4.524384718718716],[7.044817016460906],8.463277086642195,6.358853370370369
352,long_path,lp2,10s,penalty,1,average,"[12.744375706595484, 9.492717544169116]","[3.9634956159492845, 2.38404143446346]","[6.674730246913581, 3.1242444664133733]",7.794200523152784,"[13.265726999777554, 9.018725834622018]","[4.618269592092092, 3.6253598917944467]","[5.61220537037037, 4.732836602456819]",7.832067320746671,[14.068656542320099],[5.549708879212547],[7.495230995884775],9.037865472472474,6.674730246913581
326,long_path,lp2,5s,penalty,3,gaus_normal,"[13.969858358984126, 7.681119484135099]","[5.324988136934891, 2.9123831831903226]","[6.8500732956367365, 3.291083034112271]",8.714973263851919,"[13.86661789235092, 8.278994288144009]","[4.896747170777348, 3.6584833322894856]","[6.398055062395437, 3.8959188575177266]",8.387140041841235,[16.073130112180344],[6.966549728515261],[7.354851919350507],10.13151058668204,6.8500732956367365
325,long_path,lp2,5s,penalty,3,gaus_80,"[13.818204222741548, 7.729301937088949]","[5.442376261715786, 2.8667869377948523]","[6.876300965939696, 3.3918468849997234]",8.71229381679901,"[13.750426913824572, 8.297955560819494]","[4.940654795855097, 3.576333397448246]","[6.444915873384928, 3.9877100333467563]",8.378665861021533,[16.02210006687231],[7.057375721273333],[7.3506851090720335],10.143386965739223,6.876300965939696
454,long_path,lp2_n85,10s,penalty,3,gaus_normal,"[13.452476766740439, 9.459645572843064]","[3.709226269440609, 1.9261466572815844]","[6.905248093723744, 3.390154382660749]",8.022317043301598,"[12.581823924582388, 10.387754716338964]","[2.8011999341083254, 1.3959515218609138]","[6.872161174318733, 3.9598520904693837]",7.418395011003149,[13.882707423715823],[4.4398564967992495],[7.987721761645739],8.770095227386937,6.905248093723744
449,long_path,lp2_n85,10s,penalty,1,gaus_80,"[13.706507882994106, 10.872940059545845]","[4.0859038558558565, 1.2736548831574732]","[6.911679055555556, 5.015420102198668]",8.234696931468507,"[13.927980120120118, 12.250613867458434]","[5.15232364114114, 2.7088844750367143]","[7.149889835390947, 5.502462883788874]",8.743397865550735,[14.451305189634079],[5.583541867200534],[8.417263943839263],9.484037000224626,6.911679055555556
453,long_path,lp2_n85,10s,penalty,3,gaus_80,"[13.361292503908306, 9.310617656310036]","[3.632961532025132, 1.9706518302834595]","[6.91756923673663, 3.214722121794054]",7.970607757556689,"[12.485842006880564, 10.245370714796902]","[2.6414937769061093, 1.3156988678321702]","[6.953614591530394, 3.6515874730814866]",7.360316791772355,[13.823031726961895],[4.412839169517051],[8.11013979109825],8.782003562525732,6.91756923673663
