,path_len,threshold,dt,mis_val,knn,loc_method,path1_av,path2_av,path3_av,path_av_av,path1_b,path2_b,path3_b,path_b_av,path1_av_i,path2_av_i,path3_av_i,path3_av_i_av,path2_av_mean,path2_av_std
318,long_path,lp2,3s,ignore,12,gaus_normal,"[13.745341580505555, 8.4267965525016]","[3.367295323855971, 1.918322130848686]","[8.568228713786374, 3.6687433493148416]",8.560288539382633,"[14.22823590458946, 9.144934378229998]","[3.562291011413104, 2.2513584864220055]","[8.741467445812017, 4.1382237302181]",8.84399812060486,[14.959678914314747],[4.421132363607422],[10.240490514188128],9.873767264036768,3.367295323855971,1.918322130848686
316,long_path,lp2,3s,ignore,12,average,"[13.826566489358108, 8.140262583873474]","[3.4906810824762244, 2.0426839101364536]","[8.69149361257716, 3.4187016509762715]",8.66958039480383,"[14.332082750724865, 9.395693965394553]","[3.380912261340287, 2.611599284866908]","[8.858752884615384, 3.588648571413313]",8.857249298893512,[15.087865730309403],[4.404479209408852],[10.121463401114635],9.871269446944297,3.4906810824762244,2.0426839101364536
453,long_path,lp2_n85,10s,penalty,3,gaus_80,"[13.361292503908306, 9.310617656310036]","[3.632961532025132, 1.9706518302834595]","[6.91756923673663, 3.214722121794054]",7.970607757556689,"[12.485842006880564, 10.245370714796902]","[2.6414937769061093, 1.3156988678321702]","[6.953614591530394, 3.6515874730814866]",7.360316791772355,[13.823031726961895],[4.412839169517051],[8.11013979109825],8.782003562525732,3.632961532025132,1.9706518302834595
304,long_path,lp2,3s,ignore,1,average,"[14.592734938938941, 8.343641272281724]","[3.6364809909409415, 2.8621160159705976]","[8.597443494753088, 4.201289931279351]",8.942219808210991,"[13.702946914155536, 9.333812077701777]","[4.432932743796429, 4.1776942022078005]","[8.21489433760684, 7.762790540585687]",8.783591331852934,[16.25807550321292],[5.528091530965852],[10.665700355975762],10.817289130051511,3.6364809909409415,2.8621160159705976
363,long_path,lp2,10s,penalty,6,gaus_top,"[13.162335820487153, 9.508279816110308]","[3.643503615949283, 2.3344103346344753]","[9.470380518518517, 7.269607275844273]",8.758739984984985,"[11.767873963963963, 9.53827207020966]","[4.749864567067068, 2.221476189318619]","[8.878790370370371, 8.136021482508404]",8.465509633800467,[14.486465397619842],[5.752715704704706],[10.52034055144033],10.253173884588293,3.643503615949283,2.3344103346344753
452,long_path,lp2_n85,10s,penalty,3,average,"[13.59737480892003, 9.745038576410561]","[3.6962839669669694, 1.9790464109948533]","[7.43685111111111, 4.065852279113514]",8.243503295666036,"[12.624687155488822, 10.73003117630091]","[3.1202200684017356, 1.7702648421035405]","[7.008055246913579, 4.545858329704628]",7.584320823601378,[13.999464634078521],[4.473330495161828],[8.445385567901235],8.972726899047196,3.6962839669669694,1.9790464109948533
454,long_path,lp2_n85,10s,penalty,3,gaus_normal,"[13.452476766740439, 9.459645572843064]","[3.709226269440609, 1.9261466572815844]","[6.905248093723744, 3.390154382660749]",8.022317043301598,"[12.581823924582388, 10.387754716338964]","[2.8011999341083254, 1.3959515218609138]","[6.872161174318733, 3.9598520904693837]",7.418395011003149,[13.882707423715823],[4.4398564967992495],[7.987721761645739],8.770095227386937,3.709226269440609,1.9261466572815844
315,long_path,lp2,3s,ignore,6,gaus_top,"[13.723707949774772, 8.709379175270318]","[3.83453593267017, 2.468311837924215]","[8.968360147530866, 4.546845517085609]",8.84220134332527,"[14.77876185430714, 10.561804402397852]","[5.481928347097097, 3.3375458899853854]","[8.413559836182339, 7.012748046813396]",9.558083345862192,[15.49403228015898],[6.800077894424655],[10.862669952348668],11.052260042310769,3.83453593267017,2.468311837924215
356,long_path,lp2,10s,penalty,3,average,"[13.258436928817707, 9.034084309865229]","[3.8686831715048378, 2.055801883543636]","[6.358853370370369, 3.221086962917582]",7.828657823564304,"[13.203992733288844, 10.443502641531811]","[2.9109048698698694, 2.6622245291280366]","[5.919742263374485, 4.385941300581986]",7.3448799555110655,[13.820629524746968],[4.524384718718716],[7.044817016460906],8.463277086642195,3.8686831715048378,2.055801883543636
362,long_path,lp2,10s,penalty,6,gaus_normal,"[13.587738743362536, 9.136108369092739]","[3.9013240117473127, 1.9870459279492636]","[8.222817121862509, 5.289611058014449]",8.570626625657452,"[13.334250079405898, 9.276128133880542]","[3.55170350395403, 2.2800351186310848]","[7.214036667723295, 6.050390795414507]",8.033330083694407,[14.134462376844539],[4.696985645177149],[8.856841468383177],9.229429830134956,3.9013240117473127,1.9870459279492636
358,long_path,lp2,10s,penalty,3,gaus_normal,"[13.183898618842798, 8.812495008098267]","[3.9203042498000276, 2.0203725785880136]","[6.144097144469045, 3.295333063975071]",7.749433337703958,"[12.509065516947992, 8.487143461991563]","[3.097560640212412, 2.5909113252788103]","[5.65261832558714, 4.630549452820369]",7.086414827582515,[13.589739000342664],[4.6396882515352],[6.77788579709987],8.335771016325912,3.9203042498000276,2.0203725785880136
360,long_path,lp2,10s,penalty,6,average,"[13.427321595484374, 9.049636527136657]","[3.9283113103937293, 1.9618952511264938]","[8.11016761111111, 4.027335059481772]",8.488600172329738,"[12.92712648565232, 9.106197689943295]","[3.381263480980982, 2.3577153930428256]","[6.861694022633744, 4.3522982580623735]",7.72336132975568,[14.077413228450675],[4.557947443193194],[8.977855109053497],9.204405260232456,3.9283113103937293,1.9618952511264938
365,long_path,lp2,10s,penalty,12,gaus_80,"[13.365390799899776, 8.589470832375639]","[3.9468687451606304, 1.565636433274546]","[9.39420103260055, 7.209399040757542]",8.902153525886986,"[12.340650495525416, 8.07884163005395]","[3.3241819507668313, 2.17946387779265]","[8.881899227403254, 8.623571100981769]",8.182243891231835,[14.130649338479415],[4.804930888244464],[10.409658687396252],9.78174630470671,3.9468687451606304,1.565636433274546
352,long_path,lp2,10s,penalty,1,average,"[12.744375706595484, 9.492717544169116]","[3.9634956159492845, 2.38404143446346]","[6.674730246913581, 3.1242444664133733]",7.794200523152784,"[13.265726999777554, 9.018725834622018]","[4.618269592092092, 3.6253598917944467]","[5.61220537037037, 4.732836602456819]",7.832067320746671,[14.068656542320099],[5.549708879212547],[7.495230995884775],9.037865472472474,3.9634956159492845,2.38404143446346
361,long_path,lp2,10s,penalty,6,gaus_80,"[13.49989319939641, 9.24070297148708]","[3.988840681822902, 2.0388497422213736]","[8.446640088616023, 5.932509168512965]",8.645124656611777,"[13.263509147703765, 9.321934426608172]","[3.7200361808543536, 2.3445932299188947]","[7.455475759433028, 6.568342212444835]",8.146340362663716,[14.086992296315666],[4.9511837456921],[9.098677005306627],9.378951015771465,3.988840681822902,2.0388497422213736
357,long_path,lp2,10s,penalty,3,gaus_80,"[13.116942422550144, 8.76683461442231]","[3.989252748538579, 1.9978022338962815]","[6.103628078906423, 3.3542017135466997]",7.736607749998382,"[12.477510101790505, 8.360399495232397]","[3.318233036257181, 2.502797337956768]","[5.706314510399057, 4.661148982269734]",7.167352549482248,[13.538492764198484],[4.810483997777772],[6.759528144287219],8.369501635421159,3.989252748538579,1.9978022338962815
458,long_path,lp2_n85,10s,penalty,6,gaus_normal,"[13.731331822273212, 8.798946225982535]","[4.031494980998864, 2.0630868589222287]","[7.066405279788805, 3.208314179365575]",8.276410694353627,"[12.583485720351728, 9.11720106207771]","[2.873293574835929, 2.0138889651090124]","[7.555958042134573, 4.288392943805892]",7.670912445774076,[13.971864807198369],[4.491980415979734],[8.452187759287078],8.972010994155061,4.031494980998864,2.0630868589222287
456,long_path,lp2_n85,10s,penalty,6,average,"[13.872923475586699, 8.910575210432617]","[4.071459772522523, 2.087607129397344]","[7.711000635802468, 3.6321081503369435]",8.551794627970564,"[12.521597751918588, 9.120493523085951]","[3.307252429512847, 2.7841546376918713]","[8.07387222222222, 4.043730540503778]",7.967574134551218,[14.154397920031144],[4.5522174118284955],[9.264322569958846],9.323645967272828,4.071459772522523,2.087607129397344
459,long_path,lp2_n85,10s,penalty,6,gaus_top,"[13.383552994105218, 8.501849167293628]","[4.074793022522521, 1.6301415330067144]","[7.419773348765432, 3.1258962273468183]",8.292706455131057,"[11.591679948281616, 10.02890455238423]","[4.816618542709376, 2.1684162782708896]","[7.466189520697167, 4.523204636371829]",7.958162670562721,[14.033695046602158],[6.045171967801134],[9.44469892060034],9.84118864500121,4.074793022522521,1.6301415330067144
455,long_path,lp2_n85,10s,penalty,3,gaus_top,"[13.235408549660773, 8.482501347103334]","[4.079237355855855, 1.5665892909168655]","[7.167927793209876, 3.291067617631394]",8.160857899575502,"[11.165086231231234, 9.850477360135184]","[3.449986042709376, 2.050120107309358]","[6.877968932461874, 3.9122825935545045]",7.164347068800828,[13.867998673784896],[5.72578055338672],[8.581888247397725],9.39188915818978,4.079237355855855,1.5665892909168655
448,long_path,lp2_n85,10s,penalty,1,average,"[13.706507882994106, 10.872940059545845]","[4.0859038558558565, 1.2736548831574732]","[7.3761118888888895, 5.0678586171835915]",8.389507875912951,"[13.927980120120118, 12.250613867458434]","[5.15232364114114, 2.7088844750367143]","[7.149889835390947, 5.502462883788874]",8.743397865550735,[14.451305189634079],[5.583541867200534],[8.833030197530864],9.62262575145516,4.0859038558558565,1.2736548831574732
366,long_path,lp2,10s,penalty,12,gaus_normal,"[13.416873456869995, 8.568176144364456]","[4.087512948529537, 1.7395866153149993]","[9.20172228839913, 6.4075226067607565]",8.902036231266221,"[12.285626924000546, 8.149389025760126]","[3.2864491042728012, 2.715601106416839]","[8.733705471478807, 7.453537090952472]",8.101927166584051,[14.086302923033571],[4.794019388571543],[10.283584671416637],9.721302327673916,4.087512948529537,1.7395866153149993
359,long_path,lp2,10s,penalty,3,gaus_top,"[12.704376706595486, 8.866240128636308]","[4.116825115949282, 2.37126707447355]","[6.174495839506173, 3.374751612113878]",7.665232554016981,"[11.758019911578243, 9.223822691966943]","[4.244838821321321, 2.5634834943767255]","[5.246233724279836, 4.189943978955321]",7.0830308190598,[13.828124239684126],[5.967238202702703],[6.954174563786007],8.916512335390946,4.116825115949282,2.37126707447355
463,long_path,lp2_n85,10s,penalty,12,gaus_top,"[13.745025438549662, 6.35474787290775]","[4.194790022522523, 1.7792244114443514]","[7.760505570987655, 3.0266750383177916]",8.56677367735328,"[12.757060667333999, 10.050160750530681]","[5.134673098098097, 2.8722525793417613]","[8.292603137254902, 5.436362144956344]",8.728112300895667,[14.570286384384385],[5.989588884050717],[9.893815425804888],10.151230231413331,4.194790022522523,1.7792244114443514
457,long_path,lp2_n85,10s,penalty,6,gaus_80,"[13.657009807999007, 8.835890807256261]","[4.212353550983036, 2.1523519514990723]","[6.994701907063, 3.101382996667226]",8.288021755348348,"[12.484642615731921, 9.185932360717075]","[2.707865810687443, 1.6658603921912263]","[7.42007815538964, 4.303962354040636]",7.537528860603001,[13.890220882515512],[4.74105392771776],[8.456317489106928],9.0291974331134,4.212353550983036,2.1523519514990723
364,long_path,lp2,10s,penalty,12,average,"[13.08424375289178, 8.316524949682112]","[4.306079643727062, 1.8431495467895895]","[13.140371070987648, 6.523184839582164]",10.17689815586883,"[13.596262242659325, 9.14047413955952]","[3.596631803678678, 3.113560909163969]","[9.636933281893002, 6.038735892529917]",8.943275776077002,[14.463085935407628],[4.924301313813815],[15.240538044238685],11.54264176448671,4.306079643727062,1.8431495467895895
319,long_path,lp2,3s,ignore,12,gaus_top,"[13.949639905605604, 9.148778172941013]","[4.360036475175177, 2.0756892480231715]","[9.78806804938272, 4.692384855197447]",9.3659148100545,"[15.342692832832837, 11.234295254882014]","[5.613666795295295, 3.8675005762713157]","[8.282793874643874, 7.389502739163794]",9.746384500924002,[16.2293467502739],[7.0719836074132845],[11.285576946543822],11.528969101410334,4.360036475175177,2.0756892480231715
422,long_path,lp2_n85,5s,penalty,3,gaus_normal,"[13.893090574842942, 7.912636259034128]","[4.4383160061594085, 2.282189250567263]","[7.053124427991629, 2.995334255959069]",8.461510336331328,"[14.129289431290347, 10.433504789769245]","[5.2693237730539355, 4.376511451294388]","[6.7127338100356795, 3.699088569445492]",8.703782338126654,[15.396272781704084],[6.151523128900413],[7.7048164422832714],9.750870784295923,4.4383160061594085,2.282189250567263
421,long_path,lp2_n85,5s,penalty,3,gaus_80,"[13.78449330952442, 7.725223493325572]","[4.458671579251951, 2.320416791169124]","[7.062648728727259, 2.871572031092931]",8.435271205834544,"[13.85112838953216, 10.253921291731302]","[5.269323773053934, 4.376511451294388]","[6.846174778920459, 4.591227983283989]",8.655542313835518,[15.296666876737893],[6.173853798111269],[7.818429797370972],9.762983490740044,4.458671579251951,2.320416791169124
