,dt,mis_val,knn,loc_method,path1_av,path2_av,path3_av,path1_b,path2_b,path3_b,path1_av_i,path2_av_i,path3_av_i
0,3s,penalty,1,average,"[15.668921914139139, 7.549565151627493]","[7.949839287087089, 4.645161504016066]","[8.887065883641977, 6.456775992362365]","[17.208902736008735, 12.701021960359709]","[9.3853790435172, 7.500095571405048]","[9.16782320483749, 10.064135915010791]",[18.696359268026463],[11.242443195810333],[9.73447238309798]
1,3s,penalty,1,gaus_80,"[15.036296867075409, 8.157877296693863]","[7.596777876939441, 4.399964886961108]","[7.693494900617284, 4.910994523469583]","[16.767830804767033, 10.994784249964551]","[8.284525762707151, 6.029165127302475]","[7.593431558641977, 5.456024291701048]",[17.89822850354502],[10.806381113604516],[8.196953767835879]
2,3s,penalty,1,gaus_normal,"[15.036296867075409, 8.157877296693863]","[7.596777876939441, 4.399964886961108]","[7.693494900617284, 4.910994523469583]","[16.767830804767033, 10.994784249964551]","[8.284525762707151, 6.029165127302475]","[7.593431558641977, 5.456024291701048]",[17.89822850354502],[10.806381113604516],[8.196953767835879]
3,3s,penalty,1,gaus_top,"[15.036296867075409, 8.157877296693863]","[7.596777876939441, 4.399964886961108]","[7.693494900617284, 4.910994523469583]","[16.767830804767033, 10.994784249964551]","[8.284525762707151, 6.029165127302475]","[7.593431558641977, 5.456024291701048]",[17.89822850354502],[10.806381113604516],[8.196953767835879]
4,3s,penalty,3,average,"[15.235821630805807, 5.77494524438887]","[6.658057101301305, 3.724125923023461]","[8.80763577067901, 5.665944371068647]","[16.25880545891346, 10.627257022720077]","[7.6875868126020785, 6.783162528004586]","[8.525800958994708, 6.439056019435687]",[17.717731026715104],[8.782268498800843],[9.256120986963229]
5,3s,penalty,3,gaus_80,"[14.021897001108307, 6.5214906999617455]","[6.171242965674226, 3.467999891390192]","[7.340505858609517, 3.3485482568063896]","[14.779445065535187, 9.025883855059048]","[6.704195577342698, 4.698671524984121]","[7.08550102810967, 4.368018859046462]",[16.46316944774481],[8.148704568592853],[7.754079915685604]
6,3s,penalty,3,gaus_normal,"[14.01681855608655, 6.608366258445325]","[6.113081501931795, 3.4268595240778468]","[7.2902397373170835, 3.449765634468014]","[14.898521106824719, 9.093487520654026]","[6.507884524027413, 4.283054059702629]","[7.029647434447117, 4.734746978660241]",[16.504738981363797],[8.080620407491912],[7.612263926319396]
7,3s,penalty,3,gaus_top,"[13.053944358391725, 6.355745048669933]","[6.546558887825325, 3.5367383275633695]","[7.344627079320987, 4.75393137853177]","[13.653445775775774, 9.272900141118416]","[6.9956690960404835, 5.446003688407853]","[7.226671180555556, 6.572094289143908]",[15.689250168962653],[9.046164303257516],[8.170415424218858]
8,3s,penalty,6,average,"[15.140898078028028, 5.332141562653548]","[6.888051351301303, 3.7161901646464455]","[9.672922779938272, 5.33509255126257]","[15.112501724224225, 9.908657622179227]","[5.974714966413781, 6.021235032253964]","[8.680911719576718, 6.465086814232614]",[17.269231183203058],[8.145540057215191],[10.23238109266788]
9,3s,penalty,6,gaus_80,"[13.784539762199893, 6.422083371893226]","[5.871790501155315, 3.0868484263836993]","[7.565435397491246, 3.3399037034905743]","[14.341022379064892, 7.790100677932291]","[4.932814663474025, 3.7792717339944324]","[7.287036797276232, 4.410312836960359]",[16.01052260338998],[7.178609075620699],[7.98216003095312]
10,3s,penalty,6,gaus_normal,"[13.930617599644954, 6.4018976541114405]","[5.984805305221217, 3.1877982760590116]","[7.528837098747725, 3.3927812014738494]","[14.66861113457788, 7.829170750677302]","[4.875923597777058, 3.857471019449328]","[7.22460585525801, 5.627227226965883]",[16.15217795963225],[7.221440022135416],[7.8262948867859805]
11,3s,penalty,6,gaus_top,"[13.387084177836169, 7.259565993874027]","[6.3198098019394395, 3.3600583704379585]","[7.5501034237654325, 4.80181084489788]","[14.3125487946437, 8.709015819568673]","[6.351240762707151, 2.526524197543274]","[7.612772638888889, 6.48560196131261]",[16.860263065556136],[9.05990683056375],[8.742653335007256]
12,3s,penalty,12,average,"[15.471057908577325, 6.202758469858256]","[7.905595356509634, 3.9808811451636856]","[15.867471616049382, 6.356696250398366]","[15.61379595286195, 9.839841098105735]","[7.7650175726384285, 7.111570578400377]","[12.339352002314817, 6.829147836839078]",[17.68527143992695],[8.812238602073478],[17.34766876953815]
13,3s,penalty,12,gaus_80,"[13.84090824030996, 7.131696367040226]","[6.049350830792323, 3.1085223356331775]","[7.9656554130116755, 3.515240678595409]","[15.030871368965094, 7.363372145903527]","[5.086569935993217, 3.4241007272709805]","[7.366252331776525, 3.6547987541943736]",[16.246498126663674],[7.116904099965758],[8.637631821225431]
14,3s,penalty,12,gaus_normal,"[13.873612292209213, 6.964010976688324]","[6.126031706976306, 3.185685596758609]","[7.959141779071318, 3.31835618828421]","[15.120820864533295, 8.773870047440633]","[4.899240859960105, 3.5040080961359297]","[7.566836656719066, 3.4854022000564373]",[16.15621920930747],[7.110579640177789],[8.52193114581712]
15,3s,penalty,12,gaus_top,"[13.81268659501168, 8.428056979490053]","[6.180979939439441, 3.436216055628097]","[8.463599104320988, 5.398678623971147]","[15.609264696583375, 10.984719674463982]","[6.6327152071515965, 3.989877728861446]","[8.22109076388889, 6.517309205818775]",[17.209427071932936],[8.587070191593462],[9.541661340345168]
16,3s,ignore,1,average,"[14.900352540265263, 9.0249326567019]","[7.8342063755130145, 4.307981996374285]","[10.448137966975308, 4.45211256143582]","[15.59917558951108, 10.462685605115185]","[9.583239387495604, 8.215871545074169]","[12.05915933484505, 7.6227517296652065]",[18.66709595959218],[11.9241837289517],[13.100265150891616]
17,3s,ignore,1,gaus_80,"[14.900352540265263, 9.0249326567019]","[7.8342063755130145, 4.307981996374285]","[10.448137966975308, 4.45211256143582]","[15.59917558951108, 10.462685605115185]","[9.583239387495604, 8.215871545074169]","[12.05915933484505, 7.6227517296652065]",[18.66709595959218],[11.9241837289517],[13.100265150891616]
18,3s,ignore,1,gaus_normal,"[14.900352540265263, 9.0249326567019]","[7.8342063755130145, 4.307981996374285]","[10.448137966975308, 4.45211256143582]","[15.59917558951108, 10.462685605115185]","[9.583239387495604, 8.215871545074169]","[12.05915933484505, 7.6227517296652065]",[18.66709595959218],[11.9241837289517],[13.100265150891616]
19,3s,ignore,1,gaus_top,"[14.900352540265263, 9.0249326567019]","[7.8342063755130145, 4.307981996374285]","[10.448137966975308, 4.45211256143582]","[15.59917558951108, 10.462685605115185]","[9.583239387495604, 8.215871545074169]","[12.05915933484505, 7.6227517296652065]",[18.66709595959218],[11.9241837289517],[13.100265150891616]
20,3s,ignore,3,average,"[14.752547760335336, 9.179446737133949]","[7.350873113801302, 4.043735110737857]","[9.980816316975307, 3.6329146997564354]","[15.788641369016071, 8.711614528405645]","[7.498665767873136, 4.9096164464259955]","[10.798419879062735, 5.352862204967436]",[17.343168285546273],[9.892767323694574],[11.989130159667571]
21,3s,ignore,3,gaus_80,"[14.859687478834664, 9.639743927392358]","[7.287838452040782, 4.172618968851926]","[9.859681694444918, 3.9234217703947705]","[15.970794711902393, 10.769802468206958]","[7.723654992048862, 5.127041068861258]","[10.886433145631841, 6.699223328647575]",[17.744023290372745],[9.657448462707267],[12.037914812514781]
22,3s,ignore,3,gaus_normal,"[14.767827513024464, 9.445422061419688]","[7.28703901621117, 4.116094267185663]","[9.895918587245584, 3.799532692040226]","[16.02100704614199, 10.741112143341327]","[7.430365794724662, 5.232379297827272]","[10.796636680334228, 6.141402070778681]",[17.55110594150878],[9.668464182511993],[11.982965467695216]
23,3s,ignore,3,gaus_top,"[14.713037792709375, 9.62575938232365]","[7.429352299587089, 4.944195814031708]","[10.181243404938272, 5.130909331261569]","[16.929388991172992, 12.961462920291291]","[9.560602522259098, 7.598580981696801]","[11.875568511256354, 6.985561006664744]",[18.65391847252591],[11.6097215738591],[13.32198671040698]
24,3s,ignore,6,average,"[14.564996893668667, 8.933607909506842]","[6.948419878753751, 3.529493772354702]","[9.47457588688272, 3.6679189157956382]","[14.5825713036566, 9.496846829080008]","[6.816226688925767, 4.938955493861515]","[10.436776111111113, 5.035903422580229]",[16.930095125015097],[8.983871597416664],[11.543568007955036]
25,3s,ignore,6,gaus_80,"[14.375494354420299, 9.535712540517872]","[6.698192249745449, 3.5751090541446398]","[9.496185434556391, 4.212857170286604]","[14.50506029887832, 10.74576964944183]","[6.123078527642356, 4.624286760983233]","[10.309491729431514, 5.980066946402546]",[16.993292661777613],[8.494369683999778],[11.598796635483506]
26,3s,ignore,6,gaus_normal,"[14.389284126894843, 9.241899846656482]","[6.881538159155109, 3.5982761129388763]","[9.438258463445726, 3.961868921562272]","[14.495572160547967, 10.229586424309712]","[6.314612056498691, 4.525337450359655]","[10.278203979552387, 5.39990297264748]",[16.88617112772058],[8.693703334734838],[11.528094515203]
