,dt,mis_val,knn,loc_method,path1_av,path2_av,path3_av,path1_b,path2_b,path3_b,path1_av_i,path2_av_i,path3_av_i
57,5s,ignore,6,gaus_80,"[13.248547822669172, 8.915767573612444]","[2.7699391985665827, 1.5197312117931607]","[8.050979004292918, 2.503354877461428]","[13.273503851141138, 10.243313646390389]","[2.5020660246825215, 1.8615581045656133]","[7.956718384537265, 5.277636419304221]",[14.014464084805983],[3.6592059882372516],[9.35753812281167]
58,5s,ignore,6,gaus_normal,"[13.386746785926498, 8.660115566076572]","[2.8148815253107156, 1.5550527444672484]","[8.051409781014566, 2.5603996587713507]","[13.609542822667024, 10.136633447176319]","[2.324395409805992, 1.9482246250010562]","[7.920361301053027, 4.839867901064641]",[14.167698893902005],[3.4631310206259824],[9.365015913313139]
59,5s,ignore,6,gaus_top,"[13.359995209876542, 9.125228201994094]","[3.359629053553553, 1.9636908736472865]","[8.152855158436214, 3.505808344673496]","[13.665735536369702, 9.231728429330026]","[4.108316820153487, 1.4594392599947905]","[7.8626292181069966, 6.9421722530563095]",[14.812104575713807],[5.785593316733399],[10.252770382958122]
60,5s,ignore,12,average,"[13.85160537510427, 7.997115561836223]","[3.2002811854979973, 1.3722225917516884]","[8.237282060056582, 2.550879110773388]","[13.822008276470918, 8.261827870554166]","[2.554172324720553, 1.548619165444768]","[8.308674308127571, 3.8236942925093413]",[14.550106909963137],[3.6650076384509505],[9.55021996523239]
61,5s,ignore,12,gaus_80,"[13.362991997065322, 8.588808852330978]","[3.083721348333668, 1.1155375054481544]","[8.171139074950172, 2.64954059269931]","[13.529042817634972, 10.782218570511766]","[2.5435559557791283, 1.2875481669816586]","[8.376844661061309, 4.759564158008076]",[14.168543770024474],[4.061154062268093],[9.479479012855645]
62,5s,ignore,12,gaus_normal,"[13.562053857508676, 8.340416300033556]","[3.0696765711884417, 1.2563784561662317]","[8.245990775068236, 2.621697431616795]","[13.590035270101064, 10.723326897219343]","[2.423547668170308, 1.454456055285964]","[8.444888429404507, 4.393623650994329]",[14.277814212996125],[3.73559578519919],[9.571116478080327]
63,5s,ignore,12,gaus_top,"[13.445720460752419, 8.80119169456865]","[3.1796335535535536, 1.3407118560909983]","[9.041166283436214, 3.909335253497275]","[13.677412000572001, 10.795463206941408]","[3.8638784868201537, 1.4673950680293268]","[8.442998796296298, 5.060262134954352]",[15.117348142722088],[5.7805951100266935],[10.833845180343744]
64,10s,penalty,1,average,"[12.744375706595484, 9.492717544169116]","[3.9634956159492845, 2.38404143446346]","[6.674730246913581, 3.1242444664133733]","[13.265726999777554, 9.018725834622018]","[4.618269592092092, 3.6253598917944467]","[5.61220537037037, 4.732836602456819]",[14.068656542320099],[5.549708879212547],[7.495230995884775]
65,10s,penalty,1,gaus_80,"[12.744375706595484, 9.492717544169116]","[3.9634956159492845, 2.38404143446346]","[6.674730246913581, 3.1242444664133733]","[13.265726999777554, 9.018725834622018]","[4.618269592092092, 3.6253598917944467]","[5.61220537037037, 4.732836602456819]",[14.068656542320099],[5.549708879212547],[7.495230995884775]
66,10s,penalty,1,gaus_normal,"[12.744375706595484, 9.492717544169116]","[3.9634956159492845, 2.38404143446346]","[6.674730246913581, 3.1242444664133733]","[13.265726999777554, 9.018725834622018]","[4.618269592092092, 3.6253598917944467]","[5.61220537037037, 4.732836602456819]",[14.068656542320099],[5.549708879212547],[7.495230995884775]
67,10s,penalty,1,gaus_top,"[12.744375706595484, 9.492717544169116]","[3.9634956159492845, 2.38404143446346]","[6.674730246913581, 3.1242444664133733]","[13.265726999777554, 9.018725834622018]","[4.618269592092092, 3.6253598917944467]","[5.61220537037037, 4.732836602456819]",[14.068656542320099],[5.549708879212547],[7.495230995884775]
68,10s,penalty,3,average,"[13.258436928817707, 9.034084309865229]","[3.8686831715048378, 2.055801883543636]","[6.358853370370369, 3.221086962917582]","[13.203992733288844, 10.443502641531811]","[2.9109048698698694, 2.6622245291280366]","[5.919742263374485, 4.385941300581986]",[13.820629524746968],[4.524384718718716],[7.044817016460906]
69,10s,penalty,3,gaus_80,"[13.116942422550144, 8.76683461442231]","[3.989252748538579, 1.9978022338962815]","[6.103628078906423, 3.3542017135466997]","[12.477510101790505, 8.360399495232397]","[3.318233036257181, 2.502797337956768]","[5.706314510399057, 4.661148982269734]",[13.538492764198484],[4.810483997777772],[6.759528144287219]
70,10s,penalty,3,gaus_normal,"[13.183898618842798, 8.812495008098267]","[3.9203042498000276, 2.0203725785880136]","[6.144097144469045, 3.295333063975071]","[12.509065516947992, 8.487143461991563]","[3.097560640212412, 2.5909113252788103]","[5.65261832558714, 4.630549452820369]",[13.589739000342664],[4.6396882515352],[6.77788579709987]
71,10s,penalty,3,gaus_top,"[12.704376706595486, 8.866240128636308]","[4.116825115949282, 2.37126707447355]","[6.174495839506173, 3.374751612113878]","[11.758019911578243, 9.223822691966943]","[4.244838821321321, 2.5634834943767255]","[5.246233724279836, 4.189943978955321]",[13.828124239684126],[5.967238202702703],[6.954174563786007]
72,10s,penalty,6,average,"[13.427321595484374, 9.049636527136657]","[3.9283113103937293, 1.9618952511264938]","[8.11016761111111, 4.027335059481772]","[12.92712648565232, 9.106197689943295]","[3.381263480980982, 2.3577153930428256]","[6.861694022633744, 4.3522982580623735]",[14.077413228450675],[4.557947443193194],[8.977855109053497]
73,10s,penalty,6,gaus_80,"[13.49989319939641, 9.24070297148708]","[3.988840681822902, 2.0388497422213736]","[8.446640088616023, 5.932509168512965]","[13.263509147703765, 9.321934426608172]","[3.7200361808543536, 2.3445932299188947]","[7.455475759433028, 6.568342212444835]",[14.086992296315666],[4.9511837456921],[9.098677005306627]
74,10s,penalty,6,gaus_normal,"[13.587738743362536, 9.136108369092739]","[3.9013240117473127, 1.9870459279492636]","[8.222817121862509, 5.289611058014449]","[13.334250079405898, 9.276128133880542]","[3.55170350395403, 2.2800351186310848]","[7.214036667723295, 6.050390795414507]",[14.134462376844539],[4.696985645177149],[8.856841468383177]
75,10s,penalty,6,gaus_top,"[13.162335820487153, 9.508279816110308]","[3.643503615949283, 2.3344103346344753]","[9.470380518518517, 7.269607275844273]","[11.767873963963963, 9.53827207020966]","[4.749864567067068, 2.221476189318619]","[8.878790370370371, 8.136021482508404]",[14.486465397619842],[5.752715704704706],[10.52034055144033]
76,10s,penalty,12,average,"[13.08424375289178, 8.316524949682112]","[4.306079643727062, 1.8431495467895895]","[13.140371070987648, 6.523184839582164]","[13.596262242659325, 9.14047413955952]","[3.596631803678678, 3.113560909163969]","[9.636933281893002, 6.038735892529917]",[14.463085935407628],[4.924301313813815],[15.240538044238685]
77,10s,penalty,12,gaus_80,"[13.365390799899776, 8.589470832375639]","[3.9468687451606304, 1.565636433274546]","[9.39420103260055, 7.209399040757542]","[12.340650495525416, 8.07884163005395]","[3.3241819507668313, 2.17946387779265]","[8.881899227403254, 8.623571100981769]",[14.130649338479415],[4.804930888244464],[10.409658687396252]
78,10s,penalty,12,gaus_normal,"[13.416873456869995, 8.568176144364456]","[4.087512948529537, 1.7395866153149993]","[9.20172228839913, 6.4075226067607565]","[12.285626924000546, 8.149389025760126]","[3.2864491042728012, 2.715601106416839]","[8.733705471478807, 7.453537090952472]",[14.086302923033571],[4.794019388571543],[10.283584671416637]
79,10s,penalty,12,gaus_top,"[12.725309709376042, 7.381184527405024]","[3.2435136159492814, 1.945321985084175]","[9.795146061728396, 7.75427480312931]","[10.019769519519519, 6.592364682586337]","[4.560980400400401, 2.4086552684735127]","[9.167946378600822, 10.173382239019574]",[14.11737812112112],[6.052688185185184],[11.133493946502059]
80,10s,ignore,1,average,"[13.184364706595487, 8.161930706309905]","[2.454644449282616, 1.5555690071470203]","[7.775937283950619, 2.5610906836986294]","[12.680030005005005, 9.856328252419898]","[3.6945800834167497, 2.076924730908542]","[6.520001604938271, 4.905433188522682]",[13.716575476921367],[4.349830079245914],[9.00334144032922]
81,10s,ignore,1,gaus_80,"[13.184364706595487, 8.161930706309905]","[2.454644449282616, 1.5555690071470203]","[7.775937283950619, 2.5610906836986294]","[12.680030005005005, 9.856328252419898]","[3.6945800834167497, 2.076924730908542]","[6.520001604938271, 4.905433188522682]",[13.716575476921367],[4.349830079245914],[9.00334144032922]
82,10s,ignore,1,gaus_normal,"[13.184364706595487, 8.161930706309905]","[2.454644449282616, 1.5555690071470203]","[7.775937283950619, 2.5610906836986294]","[12.680030005005005, 9.856328252419898]","[3.6945800834167497, 2.076924730908542]","[6.520001604938271, 4.905433188522682]",[13.716575476921367],[4.349830079245914],[9.00334144032922]
83,10s,ignore,1,gaus_top,"[13.184364706595487, 8.161930706309905]","[2.454644449282616, 1.5555690071470203]","[7.775937283950619, 2.5610906836986294]","[12.680030005005005, 9.856328252419898]","[3.6945800834167497, 2.076924730908542]","[6.520001604938271, 4.905433188522682]",[13.716575476921367],[4.349830079245914],[9.00334144032922]
84,10s,ignore,3,average,"[13.801633225114, 8.532395372301389]","[2.302055671504839, 1.2465162625210007]","[7.803097098765431, 2.835146000400313]","[13.075170832499166, 9.94768058965919]","[2.3920322897897903, 1.5305272050107712]","[6.407247222222224, 3.7768093736695487]",[13.983027867089314],[2.890393759926593],[8.801700390946502]
85,10s,ignore,3,gaus_80,"[13.621194085338558, 8.516897336093392]","[2.155645579973955, 1.0943637730845628]","[7.388947503584449, 2.8600293673898722]","[13.10202310455372, 9.953711378217049]","[2.3386181893357336, 1.3069375112613169]","[6.434082507980333, 3.933776760030149]",[13.861968474431867],[3.27764398284186],[8.544713587460683]
86,10s,ignore,3,gaus_normal,"[13.749728857952517, 8.514625672315418]","[2.173191058014448, 1.1397286706850696]","[7.584433711270809, 2.8620694802401467]","[13.197140972476495, 8.58929020799702]","[2.4055573749813086, 1.3783591034392808]","[6.252032555055013, 4.01915337453222]",[13.956419595785226],[3.107722291276746],[8.614394268589276]
87,10s,ignore,3,gaus_top,"[13.544355706595486, 9.24162401283745]","[2.3168701159492833, 1.1398982009356915]","[7.270764728395063, 2.912689145511161]","[13.36042674174174, 8.52171654717563]","[3.692199984984985, 2.4851588476377064]","[5.389165679012345, 3.936622684102136]",[14.311524455566678],[4.621121261428096],[9.373208736625514]
88,10s,ignore,6,average,"[13.37942155844734, 8.561429704902572]","[2.1687256715048413, 1.1129635762865269]","[7.725321265432097, 2.1046002041524323]","[12.73196953620287, 9.850786768102397]","[1.7988038776276276, 1.2042799447444663]","[6.983227335390946, 3.0454510229837766]",[13.567603559003448],[2.581236768768769],[8.722662586419755]
89,10s,ignore,6,gaus_80,"[13.24775378980064, 8.712157894674167]","[2.064454765399837, 1.064501093789357]","[7.589838702127908, 2.0967064744856176]","[12.70113498280137, 10.349017512560811]","[2.4017718023228563, 1.526812594496591]","[7.061683581152654, 3.9004800057771565]",[13.549140998935627],[2.880231697437092],[8.620837262085733]
90,10s,ignore,6,gaus_normal,"[13.30944767065909, 8.57942927767492]","[2.1060798118008166, 1.0405670806320586]","[7.680526230411342, 2.1479639304250444]","[12.70008080400403, 10.08889766717301]","[2.066505188347634, 1.307936284077169]","[7.056963398365671, 3.7324500308955684]",[13.554064646896489],[2.7298802022722564],[8.65647288234967]
91,10s,ignore,6,gaus_top,"[14.009529262151041, 9.322684850566393]","[2.4084994567901234, 1.1831230536172845]","[7.044103728395062, 3.4994980764839285]","[13.819674519519518, 10.910273137826366]","[4.067565975975976, 1.5392551479766652]","[6.536462098765431, 4.686423717597571]",[14.859712285396506],[4.646966461127794],[9.047126353909466]
92,10s,ignore,12,average,"[13.607687456595487, 8.124978608192679]","[2.553345685393725, 1.2081738111380274]","[8.104200682098766, 2.211273413705724]","[13.62029678803804, 7.970032897803577]","[2.247394041750083, 1.1872923910993467]","[7.751795226337446, 2.546195615440535]",[13.891364048187077],[3.008797539831498],[9.010652643004114]
93,10s,ignore,12,gaus_80,"[13.147872957675418, 8.372718503539325]","[2.6394096614446925, 0.9344088892405763]","[8.02326660045543, 2.2241423635659077]","[12.633114474498772, 7.313916398018624]","[2.5634435079810314, 1.2251640166670585]","[7.6413760940687485, 3.592725219700618]",[13.65081383124873],[3.4321914282154515],[9.043762460268509]
94,10s,ignore,12,gaus_normal,"[13.364559042699154, 8.18204582697757]","[2.595528795951269, 1.0478447254315029]","[8.096894357771697, 2.180895355547864]","[13.006078379763641, 7.360911550972804]","[2.4524526039464782, 0.9775981760161017]","[7.834523742991768, 3.1658918202993704]",[13.75909277084789],[3.1709561903241332],[9.147403618512076]
95,10s,ignore,12,gaus_top,"[14.070783060171282, 9.030694073339312]","[3.230701123456791, 1.8716645928637268]","[7.498907172839505, 2.9741574615911444]","[12.382673408408408, 9.407538241514056]","[4.2465738463463465, 1.546551868690692]","[7.308733600823045, 6.048033323789752]",[15.077085711266822],[5.151164733400067],[9.789878703703703]
