,id,time,mac,btmac,major,minor,rssi,date,meas_time
38,1617897146,2021-04-08 18:52:00,50:d4:f7:b9:c4:44,A74CCF7DCFD4,1239,2097,-80.2,2021-04-08,2021-04-08 18:52:10.700000
39,1617897146,2021-04-08 18:52:00,50:d4:f7:ff:ec:e0,A74CCF7DCFD4,1239,2097,-65.375,2021-04-08,2021-04-08 18:52:11
40,1617897140,2021-04-08 18:52:00,50:d4:f7:b9:a6:de,A74CCF7DCFD4,1239,2097,-78.83333333333333,2021-04-08,2021-04-08 18:52:05.166666752
41,1617897146,2021-04-08 18:52:00,50:d4:f7:b9:aa:cc,A74CCF7DCFD4,1239,2097,-79.33333333333333,2021-04-08,2021-04-08 18:52:09.666666496
42,1617897146,2021-04-08 18:52:00,50:d4:f7:ff:df:56,A74CCF7DCFD4,1239,2097,-85.0,2021-04-08,2021-04-08 18:52:10.500000
43,1617897152,2021-04-08 18:52:20,50:d4:f7:b9:c0:c2,A74CCF7DCFD4,1239,2097,-88.0,2021-04-08,2021-04-08 18:52:20
44,1617897158,2021-04-08 18:52:20,50:d4:f7:b9:c4:44,A74CCF7DCFD4,1239,2097,-81.71428571428571,2021-04-08,2021-04-08 18:52:25.285714176
45,1617897164,2021-04-08 18:52:20,50:d4:f7:ff:ec:e0,A74CCF7DCFD4,1239,2097,-66.28571428571429,2021-04-08,2021-04-08 18:52:28.857142784
46,1617897152,2021-04-08 18:52:20,50:d4:f7:b9:a6:de,A74CCF7DCFD4,1239,2097,-79.25,2021-04-08,2021-04-08 18:52:21.249999872
47,1617897158,2021-04-08 18:52:20,50:d4:f7:b9:aa:cc,A74CCF7DCFD4,1239,2097,-74.71428571428571,2021-04-08,2021-04-08 18:52:28.714285568
48,1617897170,2021-04-08 18:52:40,50:d4:f7:b9:c0:c2,A74CCF7DCFD4,1239,2097,-88.0,2021-04-08,2021-04-08 18:52:43
49,1617897182,2021-04-08 18:52:40,50:d4:f7:b9:c4:44,A74CCF7DCFD4,1239,2097,-86.0,2021-04-08,2021-04-08 18:52:51.500000
50,1617897182,2021-04-08 18:52:40,50:d4:f7:ff:ec:e0,A74CCF7DCFD4,1239,2097,-74.25,2021-04-08,2021-04-08 18:52:49.249999872
51,1617897170,2021-04-08 18:52:40,50:d4:f7:b9:a6:de,A74CCF7DCFD4,1239,2097,-90.0,2021-04-08,2021-04-08 18:52:43
52,1617897188,2021-04-08 18:52:40,50:d4:f7:b9:b1:aa,A74CCF7DCFD4,1239,2097,-87.0,2021-04-08,2021-04-08 18:52:49
53,1617897176,2021-04-08 18:52:40,50:d4:f7:b9:aa:cc,A74CCF7DCFD4,1239,2097,-71.6,2021-04-08,2021-04-08 18:52:45.800000
54,1617897212,2021-04-08 18:53:00,50:d4:f7:b9:c4:44,A74CCF7DCFD4,1239,2097,-84.8,2021-04-08,2021-04-08 18:53:12.200000
55,1617897206,2021-04-08 18:53:00,50:d4:f7:ff:ec:e0,A74CCF7DCFD4,1239,2097,-67.28571428571429,2021-04-08,2021-04-08 18:53:14.142857216
56,1617897200,2021-04-08 18:53:00,50:d4:f7:b9:a6:de,A74CCF7DCFD4,1239,2097,-84.25,2021-04-08,2021-04-08 18:53:11
57,1617897206,2021-04-08 18:53:00,50:d4:f7:b9:b1:aa,A74CCF7DCFD4,1239,2097,-85.0,2021-04-08,2021-04-08 18:53:18
58,1617897200,2021-04-08 18:53:00,50:d4:f7:b9:aa:cc,A74CCF7DCFD4,1239,2097,-72.0,2021-04-08,2021-04-08 18:53:08
59,1617897230,2021-04-08 18:53:20,50:d4:f7:b9:c4:44,A74CCF7DCFD4,1239,2097,-84.5,2021-04-08,2021-04-08 18:53:29.375000064
60,1617897230,2021-04-08 18:53:20,50:d4:f7:ff:ec:e0,A74CCF7DCFD4,1239,2097,-64.71428571428571,2021-04-08,2021-04-08 18:53:29.428571392
61,1617897206,2021-04-08 18:53:20,50:d4:f7:b9:a6:de,A74CCF7DCFD4,1239,2097,-86.0,2021-04-08,2021-04-08 18:53:20
62,1617897224,2021-04-08 18:53:20,50:d4:f7:b9:aa:cc,A74CCF7DCFD4,1239,2097,-73.0,2021-04-08,2021-04-08 18:53:37.666666496
63,1617897218,2021-04-08 18:53:20,50:d4:f7:ff:df:56,A74CCF7DCFD4,1239,2097,-77.5,2021-04-08,2021-04-08 18:53:24.500000
64,1617897248,2021-04-08 18:53:40,50:d4:f7:b9:c4:44,A74CCF7DCFD4,1239,2097,-85.25,2021-04-08,2021-04-08 18:53:55.249999872
65,1617897242,2021-04-08 18:53:40,50:d4:f7:ff:ec:e0,A74CCF7DCFD4,1239,2097,-71.83333333333333,2021-04-08,2021-04-08 18:53:46.666666752
66,1617897230,2021-04-08 18:53:40,50:d4:f7:b9:b1:aa,A74CCF7DCFD4,1239,2097,-86.0,2021-04-08,2021-04-08 18:53:41
67,1617897242,2021-04-08 18:53:40,50:d4:f7:b9:aa:cc,A74CCF7DCFD4,1239,2097,-76.0,2021-04-08,2021-04-08 18:53:50.999999744
68,1617896906,2021-04-08 18:48:00,50:d4:f7:b9:c0:c2,A74CCF7DCFD4,1239,2097,-82.0,2021-04-08,2021-04-08 18:48:18
69,1617896906,2021-04-08 18:48:00,50:d4:f7:b9:c4:44,A74CCF7DCFD4,1239,2097,-72.33333333333333,2021-04-08,2021-04-08 18:48:09.583333376
70,1617896900,2021-04-08 18:48:00,50:d4:f7:ff:ec:e0,A74CCF7DCFD4,1239,2097,-89.33333333333333,2021-04-08,2021-04-08 18:48:05.666666496
71,1617896924,2021-04-08 18:48:20,50:d4:f7:b9:c4:44,A74CCF7DCFD4,1239,2097,-80.4,2021-04-08,2021-04-08 18:48:29.400000
72,1617896912,2021-04-08 18:48:20,50:d4:f7:ff:df:56,A74CCF7DCFD4,1239,2097,-80.0,2021-04-08,2021-04-08 18:48:26
73,1617896942,2021-04-08 18:48:40,50:d4:f7:b9:c0:c2,A74CCF7DCFD4,1239,2097,-82.0,2021-04-08,2021-04-08 18:48:52
74,1617896948,2021-04-08 18:48:40,50:d4:f7:b9:c4:44,A74CCF7DCFD4,1239,2097,-71.16666666666667,2021-04-08,2021-04-08 18:48:49.583333376
75,1617896948,2021-04-08 18:48:40,50:d4:f7:ff:ec:e0,A74CCF7DCFD4,1239,2097,-81.0,2021-04-08,2021-04-08 18:48:52
76,1617896948,2021-04-08 18:48:40,50:d4:f7:b9:aa:cc,A74CCF7DCFD4,1239,2097,-67.0,2021-04-08,2021-04-08 18:48:57
77,1617896966,2021-04-08 18:49:00,50:d4:f7:b9:c4:44,A74CCF7DCFD4,1239,2097,-80.14285714285714,2021-04-08,2021-04-08 18:49:11.428571392
78,1617896954,2021-04-08 18:49:00,50:d4:f7:ff:ec:e0,A74CCF7DCFD4,1239,2097,-82.33333333333333,2021-04-08,2021-04-08 18:49:02.333333504
79,1617896966,2021-04-08 18:49:00,50:d4:f7:b9:b1:aa,A74CCF7DCFD4,1239,2097,-76.0,2021-04-08,2021-04-08 18:49:10.500000
80,1617896954,2021-04-08 18:49:00,50:d4:f7:b9:aa:cc,A74CCF7DCFD4,1239,2097,-82.5,2021-04-08,2021-04-08 18:49:03
81,1617896984,2021-04-08 18:49:20,50:d4:f7:b9:c4:44,A74CCF7DCFD4,1239,2097,-79.75,2021-04-08,2021-04-08 18:49:29.750000128
82,1617896990,2021-04-08 18:49:20,50:d4:f7:b9:b1:aa,A74CCF7DCFD4,1239,2097,-82.4,2021-04-08,2021-04-08 18:49:28.200000
83,1617897008,2021-04-08 18:49:40,50:d4:f7:b9:c4:44,A74CCF7DCFD4,1239,2097,-80.28571428571429,2021-04-08,2021-04-08 18:49:53
84,1617897002,2021-04-08 18:49:40,50:d4:f7:ff:ec:e0,A74CCF7DCFD4,1239,2097,-74.0,2021-04-08,2021-04-08 18:49:47.666666752
85,1617896990,2021-04-08 18:49:40,50:d4:f7:b9:b1:aa,A74CCF7DCFD4,1239,2097,-69.0,2021-04-08,2021-04-08 18:49:44
86,1617896996,2021-04-08 18:49:40,50:d4:f7:b9:aa:cc,A74CCF7DCFD4,1239,2097,-76.5,2021-04-08,2021-04-08 18:49:43.500000
87,1617897032,2021-04-08 18:50:00,50:d4:f7:b9:c4:44,A74CCF7DCFD4,1239,2097,-72.0,2021-04-08,2021-04-08 18:50:08.444444416
88,1617897026,2021-04-08 18:50:00,50:d4:f7:ff:ec:e0,A74CCF7DCFD4,1239,2097,-90.0,2021-04-08,2021-04-08 18:50:17
89,1617897044,2021-04-08 18:50:20,50:d4:f7:b9:c4:44,A74CCF7DCFD4,1239,2097,-73.08333333333333,2021-04-08,2021-04-08 18:50:30.250000128
90,1617897032,2021-04-08 18:50:20,50:d4:f7:b9:a6:de,A74CCF7DCFD4,1239,2097,-93.0,2021-04-08,2021-04-08 18:50:26
91,1617897038,2021-04-08 18:50:20,50:d4:f7:ff:df:56,A74CCF7DCFD4,1239,2097,-88.0,2021-04-08,2021-04-08 18:50:29.666666496
92,1617897068,2021-04-08 18:50:40,50:d4:f7:b9:c4:44,A74CCF7DCFD4,1239,2097,-73.27272727272727,2021-04-08,2021-04-08 18:50:50.636363520
93,1617897068,2021-04-08 18:50:40,50:d4:f7:ff:ec:e0,A74CCF7DCFD4,1239,2097,-80.0,2021-04-08,2021-04-08 18:50:54
94,1617897068,2021-04-08 18:50:40,50:d4:f7:b9:aa:cc,A74CCF7DCFD4,1239,2097,-79.5,2021-04-08,2021-04-08 18:50:56
